AreaPxl,Asymmetry,Blueness,BorConBlue,BorConGree,BorConNDVI,BorConRed,BorConCHM,BorConDSM,BorIndex,BorLenByLe,Brightness,Compactnes,CurvByLen,Density,DifNeiBlue,DifNeiGree,DifNeiNDVI,DifNeiNIR,DifNeiRed,EllipticFi,Greenness,LenByWidMl,LenByWidPo,LengthPxl,MaxCHM,MaxDSM,MaxNDVI,MeaInBorND,MeanCHM,MeaInBorCH,MeaInBorDS,MeaOutBorD,MeaOutBorC,MeanBlue,MeanDSM,MeanGreen,MeanNDVI,MeanNIR,MeanRed,MeanStdDev,MeaOutBorN,MinCHM,MinDSM,MinNDVI,MyBrightne,NumPxls,Perimeter,PolySelfIn,RatioBlue,RatioGreen,RatioRed,RectFit,Redness,Roundness,ShapeIndex,SkewBlue,SkewGreen,SkewNDVI,SkewCHM,SkewDSM,SkewRed,StdDevCHM,StdDevBlue,StdDevDSM,StdDevGree,StdDevNDVI,StdDevNIR,StdDevRed,WidthMl,WidthPoly,ClassID
90,0.368606318,1.020572529,-10.21153846,-13.23076923,0.049984114,-14.30769231,0.174049964,0.126589262,1.238095238,3.466666667,214.6541977,0.515298273,8.142839896,1.774564233,-14.32012807,-21.21963454,0.096281981,-7.527889159,-22.30049876,0.577777778,1.090168957,2.964649562,1.363636364,15,5.406494141,727.9489746,0.268292695,0.079789221,4.651424154,4.37640686,727.030098,726.8959822,4.19539573,86.35555556,727.2932109,92.24444444,0.098137328,92.13333333,75.24444444,13.93131642,0.02062324,1.904846191,725.71698,-0.165354326,84.61481481,90,47.62233199,0,0.08046016,0.085947021,0.070107592,0.74329387,0.889258514,0.884859135,1.370320319,-0.568063836,0.127361389,-0.527734651,-1.769675911,-0.920775378,-0.030919587,0.829187932,12.25770607,0.662211747,15.41666567,0.103345192,19.39885449,14.11957751,4.073655395,11,8
28,0.634652205,1.005302227,0.575,0.8,-0.001097283,-2.575,0.001208496,0.01750946,1.666666667,3.636363636,218.2978607,0.219905,10.31120184,1.070447411,-5.794746966,-6.890142534,0.094109803,5.577491077,-10.69801562,0,1.097163309,8.09695611,1.375,11,5.484069824,728.0440063,0.292134821,0.080349104,4.937783378,4.937783378,727.0964464,727.0137972,4.792053223,90.28571429,727.0964464,98.53571429,0.080349104,94.96428571,80.60714286,15.73652531,0.083008121,3.979553223,726.319397,-0.069767445,89.80952381,28,40,0,0.08271791,0.09027639,0.073850603,0.44320263,0.897534464,2.239949725,1.889822365,-0.253053652,0.114104932,0.427021914,-0.561790857,0.283573524,-0.132626248,0.505805879,12.98036193,0.715608633,17.75122157,0.091934105,20.18925128,16.47799244,1.825302385,8,6
35,0.786711731,1.082024842,-20.5,-23.32352941,0.11135773,-20.20588235,-1.077467974,0.340901094,1.214285714,2.951927295,178.84424,0.517998933,10.38964011,1.372917514,-33.67524559,-39.62445192,0.164471303,-24.77711218,-34.68605073,0.542857143,1.044762128,3.107384134,2.400903539,11.51789885,2.918334961,732.1055908,0.600000024,0.071184685,0.41819894,0.553741455,729.0932032,728.846126,1.796223232,43.97142857,729.4497716,42.45714286,0.11648115,42.85714286,35.48571429,17.50241274,-0.060559069,0,724.7285156,-0.444444448,40.63809524,35,30.16127726,0,0.049172876,0.047479464,0.039683374,0.822311289,0.87321303,0.641388936,1.436762233,0.859719958,1.415512919,-0.088036164,2.390287902,-0.646033837,1.03873803,0.901356542,12.74695642,3.029872621,19.85999979,0.266338602,17.71705048,19.90028202,3.005498012,4.797318453,8
52,0.683466271,0.921862148,7.333333333,8.851851852,-0.035147047,6.203703704,-0.061898691,0.045214618,1.6875,3.375,268.1765705,0.267568705,11.07431231,1.307465681,10.43185773,17.00040148,-0.085422148,-2.446398491,14.25407546,0.192307692,1.104211219,5.639585915,1.777777778,16,5.560302734,727.5456543,0.128919855,-0.001548347,4.579954881,4.526560974,725.726825,725.677818,4.620029615,143.6923077,725.6520832,172.1153846,-0.014026933,147.6153846,151.8076923,21.73265927,0.043660278,3.52557373,723.0797729,-0.14828898,155.8717949,52,49.17954247,0,0.107162462,0.128359748,0.113214732,0.596930329,0.973926633,1.327035311,1.872113162,0.306716928,0.020774891,0.168597957,-0.18950066,0.064867588,0.484721093,0.836019976,19.46252658,1.302301687,22.62032259,0.070413542,22.38402061,23.11512863,2.432682799,9,6
49,0.6128261,0.902475284,7.947368421,12.10526316,-0.01903525,12.55263158,0.006521125,0.032258686,1.266666667,3.8,294.1950297,0.529681225,8.832510524,1.534559219,10.45408353,20.0846329,-0.021906606,13.42409156,20.32919833,0.346938776,1.104623504,2.775092773,1.111111111,10,7.834716797,728.9689941,0.086350977,0.028075743,7.08299162,6.993757577,728.6467727,728.6002012,6.951066451,165.1836735,728.7098426,202.1836735,0.029506761,193.1632653,181.7346939,11.58208843,0.041740877,5.390625,728.22052,-0.050847456,183.0340136,49,35.12310563,0,0.112295353,0.137448735,0.123547086,0.651240215,0.992901212,1.323856326,1.357142857,-0.348427722,-1.58781602,-0.550758429,-1.177994449,-0.604861743,-1.439303071,0.830894976,11.52047595,0.25569585,11.52932989,0.030242584,16.92160428,11.69645945,3.520624847,9,6
68,0.787904689,0.980129269,13.01612903,16.90322581,-0.064384686,14.22580645,-0.073074833,0.118609028,1.55,3.136158403,230.3509568,0.29135598,8.769689938,1.309802902,18.49230516,27.07284083,-0.051582119,9.551001483,21.76086429,0.294117647,1.100008734,5.86971572,2.487648543,19.76940959,6.135314941,729.914978,0.034825869,-0.086867311,4.675556856,4.266265159,727.935422,727.626217,4.340963135,110.0147059,728.26949,123.4705882,-0.092030192,86.75,103.25,15.25480766,-0.021253945,-0.052978516,725.5565186,-0.276595742,112.245098,68,55.14182275,0,0.095519209,0.107202149,0.089645818,0.671194025,0.919861997,1.316647126,1.879651094,-0.969141419,-0.373260679,-0.537465168,-1.40695488,-0.873754173,-0.348960109,1.760395489,12.14676506,1.351923963,18.93135478,0.0596688,17.4637229,14.68630314,3.167756891,7.947026777,6
81,0.046104561,1.015182707,5.068965517,4.75862069,-0.0495624,5.827586207,-0.108914079,0.039673904,1.45,4.036955229,221.8245336,0.493716429,13.26009893,1.757415988,9.915733857,7.448585762,-0.016453693,7.472253952,6.262787248,0.580246914,1.076556871,3.125777412,1.253967831,14.36726362,3.09197998,726.0089722,0.21472393,0.037987308,0.47895342,0.544266138,723.956604,724.029777,0.613879395,97.40740741,724.4066185,103.2962963,0.053645766,96.86419753,87.14814815,11.37197483,0.088045895,0,722.8309937,-0.131868139,95.95061728,81,47.72778235,0,0.087823836,0.093133338,0.078573949,0.772433536,0.908260422,0.959172889,1.611111111,0.012778479,0.336921259,-0.022552501,2.318425741,-0.072042337,0.009505936,0.906533298,8.644955394,1.402854726,12.84421803,0.07690308,12.35458938,12.62675106,4.159150625,11.45744195,8
53,0.278701532,1.088317858,-13.63888889,-18.61111111,0.026205125,-15.61111111,-0.035892063,-0.225558811,1.125,3.6,189.984033,0.578171042,13.80888201,1.765447501,-30.02148019,-40.02405695,0.010477862,-32.44350763,-34.00776223,0.660377358,1.009285252,2.558069763,1.25,10,3.090881348,727.9846802,0.303370774,-0.031055311,1.722632066,1.810843009,724.8576502,725.062372,1.890130812,63.39622642,724.8446932,58.79245283,-0.002825111,50.32075472,52.56603774,18.54898622,-0.049645394,1.187988281,722.2559814,-0.215189874,58.25157233,53,33.29319295,0,0.066738478,0.061891994,0.055337322,0.812647478,0.902396891,0.522141616,1.236245076,0.327275811,0.490209031,0.354995675,1.23037277,0.289617337,0.358109074,0.524132496,16.86499067,1.944547224,20.24133496,0.15524088,11.49367929,18.54063303,3.286786704,8,8
65,0.331296794,1.019605363,-4.068965517,-4.5,0.006857738,-4.086206897,0.028446592,-0.076119258,1.705882353,3.433339969,208.6721567,0.273548161,9.618237961,1.510605902,-9.08953948,-14.18132761,0.021702222,-9.568441457,-10.89993596,0.446153846,1.052049077,3.67533358,1.461737815,16.89317124,6.527282715,728.7379761,0.186440676,-0.043604913,5.403964468,5.52028749,728.0942874,728.1647437,5.341027832,82.67692308,728.1761681,85.30769231,-0.018100505,71.92307692,75.27692308,15.77916233,-0.044615785,1.966491699,727.1148071,-0.258064508,81.08717949,65,52.71804725,0,0.079240972,0.08176241,0.072148507,0.650519207,0.92834556,1.364334997,1.798503652,0.665157276,0.938199825,-0.433461466,-1.320443226,-1.134294324,0.716828097,0.712929531,12.70869804,0.528706103,18.53721668,0.115505483,11.42912298,16.09157227,3.117377108,11.55690922,8
39,0.414015642,1.153620352,-14.47222222,-16.11111111,0.075171664,-13.16666667,0.173002455,-0.307678223,1.384615385,3.6,179.7446881,0.444759274,11.4581164,1.535196445,-25.26541046,-32.41306191,0.153401641,-14.10605483,-27.51122216,0.333333333,1.012133072,3.016474062,1.25,10,5.16607666,725.4667358,0.551020384,0.046750475,3.811988244,3.722605387,724.5879924,724.9884486,3.448824975,50.38461538,724.6721583,44.20512821,0.095938567,43.02564103,36.43589744,11.14448786,-0.04174997,2.881774902,723.4869995,-0.109090909,43.67521368,39,32.33232111,0,0.056062425,0.049186575,0.040541835,0.66394613,0.834246575,1.153567706,1.441153384,-0.226678091,0.049383251,1.031541295,0.23343685,-0.454443425,0.003917032,0.662970752,11.85514145,0.910787873,11.86500886,0.148475754,5.380340183,9.713313285,2.968431429,8,8
